Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD
BARBARIC,2,0.166666667,0.611111111,1.944444444,0.333333333,2.944444444,1.15,1.55,2.75,1.55,1.15,2.057983022,0.514495755,1.195033295,1.893400993,0.766964989,2.235337117,1.954078057,2.038446261,2.173403831,1.848897253,1.87153188
BARRED,1.333333333,0.238095238,1.523809524,1,0.19047619,2.857142857,1.444444444,1.444444444,2,0.722222222,1.111111111,1.712697677,0.889087279,1.96517296,1.673320053,0.601585208,1.878449208,2.064325049,2.064325049,2.029198625,1.637988564,1.843554396
BED,0.894736842,0.263157895,4.421052632,1.473684211,0.842105263,4.105263158,3.047619048,3,3.714285714,0.952380952,3.380952381,1.048530021,0.805681579,0.837707817,1.775400457,1.462993806,1.448935887,1.96153487,1.949358869,1.82051798,1.564486832,1.96153487
BELIEVING,2.631578947,0.684210526,0.578947368,3.894736842,0.631578947,2.052631579,0.19047619,0.857142857,3.761904762,1.238095238,0.476190476,2.113725682,1.492672159,1.346426937,1.196974744,1.382852379,2.040525102,0.511766316,1.492840055,1.921061215,1.546116487,1.077916862
BELL TOWER,4.166666667,0,1.666666667,0.277777778,0.166666667,4.166666667,0.619047619,0.857142857,2.714285714,0.428571429,0.619047619,1.150447483,0,2,0.57451315,0.514495755,1.248528546,1.395571226,1.558387445,2.239260082,1.028174527,1.465475707
BEYOND,1.619047619,0.619047619,1,1.428571429,0.523809524,2.761904762,0.8,0.8,2.5,0.35,0.35,1.716863142,1.244033379,1.732050808,1.748468718,1.123345344,1.70014005,1.641565363,1.704483252,1.877848713,0.933302004,0.812727701
BIBLIOGRAPHICALLY,2.055555556,0.333333333,0.5,0.277777778,0.166666667,3.833333333,0.35,1.6,2.8,1.25,0.45,1.862074183,0.9701425,0.923548145,0.669113158,0.514495755,1.689065178,0.812727701,2.01049876,2.142305693,1.517442447,1.099042646
BLASPHEMOUSLY,2.3125,0.25,0.125,1.3125,0.3125,2.1875,0.315789474,0.421052632,2.631578947,3.421052632,0.210526316,2.182315284,1,0.5,2.023816527,1.25,2.136000936,0.945905303,1.017392608,1.891810606,1.952656011,0.713282504
BLOCK,0.945945946,0.27027027,2.27027027,0.567567568,0.216216216,3.459459459,1.866666667,3.066666667,2.2,0.9,1.933333333,1.50823565,0.838273644,1.952898823,1.281070311,0.712395612,1.693034662,1.591644852,1.529780993,1.827000557,1.446756181,1.638614497
BLOODTHIRSTILY,1.789473684,0.631578947,0.578947368,2.736842105,0.473684211,2.789473684,0.952380952,1.285714286,2.571428571,2.19047619,1.095238095,2.070398442,1.342076596,1.216360211,1.910267732,1.123902974,2.225582255,1.359271514,1.82051798,2.15804144,1.939563034,1.513431925
BLUISHNESS,0.117647059,0.058823529,0.705882353,1.529411765,0.058823529,3.352941176,0.176470588,0.411764706,2.588235294,0.823529412,0.470588235,0.332105582,0.242535625,1.311711948,1.73629084,0.242535625,1.868862504,0.727606875,1.064120736,2.209604702,1.42457424,1.007326105
BOOKBAG,0.421052632,0.315789474,3.947368421,0.368421053,0.473684211,4.578947368,0.714285714,3.142857143,2.333333333,0.380952381,1.904761905,0.901590537,1.002919714,1.268143184,1.211542924,1.020262551,0.507257274,1.10194633,2.128044038,2.105548226,0.864649668,1.813966976
BOTANICALLY,0.5625,0.875,1.75,0.5625,1.9375,3.625,1.166666667,1.833333333,2.388888889,1.277777778,0.833333333,1.263262971,1.74642492,1.770122406,1.263262971,1.806239187,1.454876856,2.007339474,1.977818168,2.061949075,1.903728711,1.790497795
BOTH,2.05,0.55,2.1,1.1,0.5,3.15,0.944444444,0.944444444,1.388888889,0.333333333,0.277777778,2.089447169,1.145931017,2.049390153,1.651155895,1.147078669,1.814415956,1.924217862,1.924217862,2.090282528,1.188177052,1.178511302
BRAISED,0.411764706,2.647058824,1.117647059,0.647058824,1.941176471,2.411764706,0.3125,1.5,1.3125,1.875,1.0625,0.618346942,2.206274475,1.615640467,1.114740803,1.886484437,1.872792819,1.01447852,1.825741858,1.537042615,1.857417562,1.52616076
BREEZELESS,1.4375,0,1.875,1.4375,0.125,1.75,1.263157895,1.526315789,1.894736842,0.631578947,1.789473684,1.75,0,2.217355783,1.787689384,0.341565026,1.914854216,1.995609215,2.064741605,2.024701263,1.300022492,2.250406071
